file	line	old	new
src/views/home/Home.tsx	337	fontSize:10	fontSize:11
src/views/home/Home.tsx	338	fontSize:9	fontSize:11
src/views/dashboard/admin/analytics/KnowledgeMapSection.tsx	70	fontSize: 9	fontSize: 11
src/views/dashboard/admin/analytics/KnowledgeMapSection.tsx	71	fontSize: 10	fontSize: 11
src/views/dashboard/admin/analytics/AnalyticsOverviewSection.tsx	88	fontSize: 9	fontSize: 11
src/views/dashboard/admin/analytics/AnalyticsOverviewSection.tsx	89	fontSize: 9	fontSize: 11
src/views/dashboard/admin/analytics/AnalyticsOverviewSection.tsx	108	fontSize: 9	fontSize: 11
src/views/dashboard/admin/analytics/AnalyticsOverviewSection.tsx	109	fontSize: 9	fontSize: 11
src/views/dashboard/student/subjects/FilesTab.tsx	59	fontSize: "0.65rem"	fontSize: "0.7rem"
src/views/dashboard/student/subjects/subjectDetail.styles.ts	15	font-size:0.68rem	font-size:0.7rem
src/views/dashboard/student/subjects/subjectDetail.styles.ts	66	font-size:0.63rem	font-size:0.7rem
src/views/dashboard/student/subjects/StudentSubjectDetail.tsx	133	fontSize: "0.65rem"	fontSize: "0.7rem"
src/views/dashboard/student/subjects/StudentSubjectDetail.tsx	142	fontSize: "0.65rem"	fontSize: "0.7rem"
src/views/dashboard/student/subjects/StudentSubjects.tsx	68	font-size: 0.68rem	font-size: 0.7rem
src/views/dashboard/student/subjects/StudentSubjects.tsx	134	fontSize: '0.65rem'	fontSize: '0.7rem'
src/views/dashboard/student/subjects/StudentSubjects.tsx	139	fontSize: '0.5rem'	fontSize: '0.7rem'
src/views/dashboard/student/subjects/StudentSubjects.tsx	147	fontSize: '0.65rem'	fontSize: '0.7rem'
src/views/dashboard/student/subjects/StudentSubjects.tsx	152	fontSize: '0.65rem'	fontSize: '0.7rem'
src/views/dashboard/student/subjects/StudentSubjects.tsx	157	fontSize: '0.65rem'	fontSize: '0.7rem'
src/views/dashboard/student/subjects/StudentSubjects.tsx	164	fontSize: '0.68rem'	fontSize: '0.7rem'
src/views/dashboard/student/subjects/StudentSubjects.tsx	291	fontSize: '0.58rem'	fontSize: '0.7rem'
src/views/dashboard/student/subjects/StudentSubjects.tsx	299	fontSize: '0.62rem'	fontSize: '0.7rem'
src/views/dashboard/student/subjects/StudentSubjects.tsx	311	fontSize: '0.58rem'	fontSize: '0.7rem'
